sku,product_category,unit_cost,list_price,criticality
SKU00146,Heavy Equipment,2296.14,2939.06,Medium
SKU00147,Consumable,21.61,33.5,Medium
SKU00148,OEM Specialty Part,53.74,99.42,High
SKU00149,Accessory,86.72,147.42,Medium
SKU00150,OEM Specialty Part,55.0,101.75,High
SKU00151,Heavy Equipment,706.1,903.81,Medium
SKU00152,Accessory,123.86,210.56,Medium
SKU00153,OEM Specialty Part,220.98,408.81,High
SKU00154,OEM Specialty Part,141.82,262.37,High
SKU00155,Heavy Equipment,1284.39,1644.02,Medium
SKU00156,Commodity Part,21.95,29.63,Low
SKU00157,Commodity Part,55.41,74.8,Low
SKU00158,Heavy Equipment,526.38,673.77,Medium
SKU00159,Accessory,98.12,166.8,Medium
SKU00160,Heavy Equipment,1844.96,2361.55,Medium
SKU00161,Accessory,139.62,237.35,Medium
SKU00162,Consumable,30.66,47.52,Medium
SKU00163,Consumable,16.39,25.4,Medium
SKU00164,Commodity Part,50.67,68.4,Low
SKU00165,OEM Specialty Part,61.51,113.79,High
SKU00166,Consumable,4.43,6.87,Medium
SKU00167,Commodity Part,58.06,78.38,Low
SKU00168,Accessory,95.43,162.23,Medium
SKU00169,OEM Specialty Part,106.68,197.36,High
SKU00170,OEM Specialty Part,183.68,339.81,High
SKU00171,Commodity Part,66.66,89.99,Low
SKU00172,Commodity Part,19.01,25.66,Low
SKU00173,OEM Specialty Part,141.35,261.5,High
SKU00174,Consumable,6.01,9.32,Medium
SKU00175,Commodity Part,25.65,34.63,Low
SKU00176,OEM Specialty Part,93.55,173.07,High
SKU00177,OEM Specialty Part,153.52,284.01,High
SKU00178,OEM Specialty Part,211.96,392.13,High
SKU00179,Commodity Part,9.59,12.95,Low
SKU00180,Accessory,54.0,91.8,Medium
SKU00181,Heavy Equipment,799.63,1023.53,Medium
SKU00182,Commodity Part,10.68,14.42,Low
SKU00183,Accessory,67.32,114.44,Medium
SKU00184,Commodity Part,22.79,30.77,Low
SKU00185,OEM Specialty Part,220.29,407.54,High
SKU00186,Commodity Part,38.87,52.47,Low
SKU00187,OEM Specialty Part,98.93,183.02,High
SKU00188,OEM Specialty Part,144.31,266.97,High
SKU00189,OEM Specialty Part,101.31,187.42,High
SKU00190,OEM Specialty Part,207.15,383.23,High
SKU00191,Commodity Part,7.5,10.12,Low
SKU00192,Commodity Part,48.22,65.1,Low
SKU00193,Consumable,2.81,4.36,Medium
SKU00194,Commodity Part,34.22,46.2,Low
SKU00195,Accessory,82.66,140.52,Medium
SKU00196,Consumable,6.33,9.81,Medium
SKU00197,Commodity Part,60.62,81.84,Low
SKU00198,OEM Specialty Part,130.64,241.68,High
SKU00199,OEM Specialty Part,202.59,374.79,High
SKU00200,Accessory,49.24,83.71,Medium
SKU00201,Heavy Equipment,1933.48,2474.85,Medium
SKU00202,Commodity Part,14.98,20.22,Low
SKU00203,Accessory,103.17,175.39,Medium
SKU00204,OEM Specialty Part,68.2,126.17,High
SKU00205,Consumable,23.61,36.6,Medium
SKU00206,Accessory,101.48,172.52,Medium
SKU00207,Commodity Part,34.43,46.48,Low
SKU00208,Heavy Equipment,2982.0,3816.96,Medium
SKU00209,Commodity Part,74.36,100.39,Low
SKU00210,Commodity Part,58.48,78.95,Low
SKU00211,Commodity Part,16.19,21.86,Low
SKU00212,OEM Specialty Part,66.78,123.54,High
SKU00213,Heavy Equipment,1221.17,1563.1,Medium
SKU00214,Consumable,15.77,24.44,Medium
SKU00215,Commodity Part,52.34,70.66,Low
SKU00216,OEM Specialty Part,232.77,430.62,High
SKU00217,Heavy Equipment,2387.05,3055.42,Medium
SKU00218,Commodity Part,74.69,100.83,Low
SKU00219,OEM Specialty Part,201.04,371.92,High
SKU00220,Commodity Part,34.69,46.83,Low
SKU00221,OEM Specialty Part,39.82,73.67,High
SKU00222,Accessory,135.94,231.1,Medium
SKU00223,Commodity Part,55.92,75.49,Low
SKU00224,Accessory,36.23,61.59,Medium
SKU00225,OEM Specialty Part,74.67,138.14,High
SKU00226,OEM Specialty Part,122.08,225.85,High
SKU00227,Accessory,52.36,89.01,Medium
SKU00228,Commodity Part,37.39,50.48,Low
SKU00229,Accessory,115.81,196.88,Medium
SKU00230,OEM Specialty Part,115.22,213.16,High
SKU00231,OEM Specialty Part,95.64,176.93,High
SKU00232,Consumable,6.84,10.6,Medium
SKU00233,OEM Specialty Part,149.2,276.02,High
SKU00234,Commodity Part,24.63,33.25,Low
SKU00235,OEM Specialty Part,62.68,115.96,High
SKU00236,Commodity Part,23.71,32.01,Low
SKU00237,OEM Specialty Part,74.97,138.69,High
SKU00238,Heavy Equipment,2562.41,3279.88,Medium
SKU00239,OEM Specialty Part,135.66,250.97,High
SKU00240,Commodity Part,20.73,27.99,Low
SKU00241,Commodity Part,72.72,98.17,Low
SKU00242,Consumable,33.66,52.17,Medium
SKU00243,Consumable,22.55,34.95,Medium
SKU00244,Commodity Part,59.86,80.81,Low
SKU00245,Accessory,127.93,217.48,Medium
SKU00246,Commodity Part,20.58,27.78,Low
SKU00247,OEM Specialty Part,204.8,378.88,High
SKU00248,OEM Specialty Part,160.97,297.79,High
SKU00249,OEM Specialty Part,52.56,97.24,High
SKU00250,Commodity Part,10.36,13.99,Low
SKU00251,Commodity Part,57.83,78.07,Low
SKU00252,Commodity Part,26.53,35.82,Low
SKU00253,Commodity Part,65.16,87.97,Low
SKU00254,Commodity Part,53.37,72.05,Low
SKU00255,OEM Specialty Part,232.78,430.64,High
SKU00256,Consumable,22.76,35.28,Medium
SKU00257,Commodity Part,71.54,96.58,Low
SKU00258,OEM Specialty Part,38.11,70.5,High
SKU00259,Commodity Part,53.17,71.78,Low
SKU00260,Commodity Part,30.04,40.55,Low
SKU00261,Heavy Equipment,1948.94,2494.64,Medium
SKU00262,Accessory,86.96,147.83,Medium
SKU00263,Commodity Part,50.5,68.18,Low
SKU00264,OEM Specialty Part,68.66,127.02,High
SKU00265,Consumable,20.92,32.43,Medium
SKU00266,Heavy Equipment,2615.34,3347.64,Medium
SKU00267,OEM Specialty Part,71.55,132.37,High
SKU00268,OEM Specialty Part,48.07,88.93,High
SKU00269,Commodity Part,62.75,84.71,Low
SKU00270,Heavy Equipment,1469.21,1880.59,Medium
SKU00271,Consumable,11.13,17.25,Medium
SKU00272,OEM Specialty Part,94.37,174.58,High
SKU00273,Accessory,140.44,238.75,Medium
SKU00274,Consumable,26.22,40.64,Medium
SKU00275,Commodity Part,70.18,94.74,Low
SKU00276,Accessory,121.62,206.75,Medium
SKU00277,OEM Specialty Part,222.16,411.0,High
SKU00278,Commodity Part,11.19,15.11,Low
SKU00279,OEM Specialty Part,59.11,109.35,High
SKU00280,Commodity Part,68.06,91.88,Low
SKU00281,OEM Specialty Part,189.07,349.78,High
SKU00282,Accessory,118.69,201.77,Medium
SKU00283,Commodity Part,42.04,56.75,Low
SKU00284,Accessory,48.45,82.37,Medium
SKU00285,Commodity Part,36.02,48.63,Low
SKU00286,Commodity Part,72.1,97.33,Low
SKU00287,Commodity Part,64.06,86.48,Low
SKU00288,OEM Specialty Part,111.76,206.76,High
SKU00289,Accessory,81.38,138.35,Medium
SKU00290,Consumable,25.78,39.96,Medium
SKU00291,OEM Specialty Part,145.61,269.38,High
SKU00292,OEM Specialty Part,115.15,213.03,High
SKU00293,OEM Specialty Part,157.05,290.54,High
SKU00294,OEM Specialty Part,160.63,297.17,High
SKU00295,Commodity Part,34.93,47.16,Low
SKU00296,Accessory,24.33,41.36,Medium
SKU00297,Commodity Part,51.4,69.39,Low
SKU00298,Commodity Part,64.4,86.94,Low
SKU00299,Consumable,8.57,13.28,Medium
SKU00300,Consumable,26.0,40.3,Medium
